id,title,category,url,description,summary,use_cases
color-picker,Color Picker,Design,/tools/color-picker,"Get a HEX code from an image, inspect nearby pixels with a zoomed picker, and copy HEX, RGB, or HSL color values.","This free image color picker samples HEX, RGB, and HSL values from an uploaded screenshot, logo, photo, or graphic so a visual reference can become a usable design value.","Matching a HEX color from a screenshot, logo, product photo, or moodboard.; Checking nearby pixels with a magnified view before copying the final value.; Translating visual references into usable CSS or design-token color formats.; Comparing a sampled brand color with an existing palette before design handoff."
case-converter,Case Converter,Text,/tools/case-converter,"Use a free letter case converter for uppercase to lowercase, title case, sentence case, alternating case, and code-friendly formats.","This free case converter changes uppercase to lowercase, all caps to lowercase, title case, sentence case, alternating case, and code-friendly formats without retyping the source text.","Changing all-caps notes, headings, labels, or exports into readable lowercase text before publishing.; Turning rough copy into title case or sentence case for a document, design, email, or CMS field.; Creating alternating or inverse case for informal creative text without editing characters individually.; Normalizing labels into camel case, snake case, kebab case, or constant case before development handoff."
proportion-scaler,Proportion Scaler,Other,/tools/proportion-scaler,"Scale dimensions proportionally, preserve aspect ratios, and copy resized width and height values.","Proportion Scaler calculates proportional width and height values from an original size, making aspect-ratio math quick and copyable.","Resizing images, embeds, canvases, videos, or design frames without distortion.; Finding a matching dimension when only one side is known.; Checking common ratios before exporting or implementing fixed-format assets."
image-to-text,Image to Text,Images,/tools/image-to-text,"Extract text from screenshots, documents, notes, labels, and graphics with local browser OCR, then copy or download the result.","This free image-to-text converter runs OCR locally in the browser to extract words from screenshots, documents, notes, labels, and graphics, then returns plain text you can review, copy, or download.","Pulling text from screenshots, scanned notes, labels, photos, or image-based documents.; Turning image text into editable text for notes, content cleanup, or data entry.; Checking OCR confidence before reusing the extracted result.; Recovering words from slides, social graphics, receipts, or reference images when source copy is unavailable."
image-compressor,Image Compressor,Images,/tools/image-compressor,"Compress and resize image batches, decrease picture resolution, compare file-size savings, and download optimized files or a ZIP.","This free image compressor reduces file size in the browser, can decrease image resolution with maximum width and height controls, and exports optimized images individually or as a ZIP.","Reducing large images before publishing them to a website, CMS, or product page.; Decreasing picture size or resolution while preserving the original aspect ratio.; Compressing a batch of screenshots, product images, or content assets together.; Preparing lighter image attachments for email, documentation, or design handoff."
color-palette-generator,Color Palette Generator,Design,/tools/color-palette-generator,"Generate, tune, preview, and export color palettes for brand systems, mockups, and design projects.","Color Palette Generator helps explore color combinations, contrast, gradients, mockups, image inspiration, and saved palettes from one browser workspace.","Starting brand, landing page, dashboard, or campaign color exploration.; Previewing how a palette behaves in realistic UI and visual compositions.; Exporting reusable color values once the direction feels right."
vectorvault,Vector Vault,Design,/tools/vectorvault,"Search, preview, edit, upload, and export SVG icons from a local vector library.","Vector Vault provides search, preview, editing, upload, and export flows for SVG icons without turning icon cleanup into a larger asset-management task.",Finding and copying reusable SVG icons during interface design or development.; Editing icon details before export or handoff.; Keeping a practical local icon library for repeated project work.
dns-checker,DNS Checker,SEO,/tools/dns-checker,"Check DNS records across public resolvers to compare propagation, response details, and lookup speed.","DNS Checker queries public resolvers in parallel so domain changes can be compared across record types, response values, and lookup timing.","Verifying A, AAAA, MX, TXT, CNAME, or NS records after a DNS change.; Comparing resolver responses when a domain works in one place but not another.; Spotting propagation gaps before debugging hosting, email, or verification issues."
redirect-analyzer,Redirect Analyzer,SEO,/tools/redirect-analyzer,"Map URL redirect chains, trace status codes, final destinations, and HTTP-to-HTTPS upgrade behavior.","Redirect Analyzer is a redirect mapping tool that follows a URL through status codes, hops, final destinations, and protocol changes so redirect behavior is easier to debug.","Checking whether a campaign, affiliate, or migrated URL lands in the right place.; Finding extra redirect hops with a redirect chain checker before they slow down a page or obscure the final URL.; Confirming HTTP-to-HTTPS upgrades and status codes during SEO cleanup."
sitemap-robots-explorer,Sitemap Robots Explorer,SEO,/tools/sitemap-robots-explorer,"Explore robots.txt, discover sitemap files, scan URLs, and categorize site structure from one input.","Sitemap Robots Explorer reads a site entry point, discovers sitemap references, scans URLs, and groups discovered paths into useful categories.","Getting a fast view of a website's public URL structure.; Checking whether robots.txt exposes expected sitemap locations.; Categorizing discovered URLs before a content audit, migration, or technical SEO review."
modular-wireframe-generator,Modular Wireframe Generator,Design,/tools/modular-wireframe-generator,"Compose modular website wireframes, cycle section variations, and export layouts for design planning.","Modular Wireframe Generator combines common website sections, variation controls, and export options for fast planning of page layouts.","Exploring landing page, pricing, feature, gallery, contact, or testimonial structures.; Comparing section variations before committing to a full design pass.; Exporting a rough layout for discussion, documentation, or next-step design work."
image-converter,Image Converter,Images,/tools/image-converter,"Convert images to JPG, PNG, WebP, or PDF directly in the browser with batch controls and downloads.","Image Converter changes images into JPG, PNG, WebP, or PDF outputs with batch controls, file previews, and downloadable results.","Preparing images for a platform that requires a specific file type.; Converting several design, screenshot, or content assets in one pass.; Creating PDFs from image files for sharing, archiving, or quick review."
image-extractor,Image Extractor,Images,/tools/image-extractor,"Extract images from a webpage, review discovered image URLs and assets, and download individual files or a ZIP.","Image Extractor scans a webpage URL for discoverable image URLs and assets, groups useful results, and supports single-file or ZIP downloads.","Reviewing page imagery during content, migration, or redesign work.; Finding source image URLs without manually inspecting page markup.; Collecting visible page assets for local analysis or cleanup."
font-converter,Font Converter,Design,/tools/font-converter,"Convert font files in bulk between web and desktop formats, then download ready-to-use outputs.","Font Converter batches font uploads, processes supported formats, and produces ready-to-download outputs for front-end builds, design handoff, or asset cleanup.",Preparing font assets for web projects that need browser-friendly formats.; Converting several font files at once instead of running one-off exports.; Organizing delivered typography assets before adding them to a project.
heatmap-tracker,Heatmap Tracker,Design,/tools/heatmap-tracker,"Prototype click heatmaps locally by placing hotspots on screenshots, seeding demo data, and exporting JSON.","Heatmap Tracker lets you place and export local click hotspots on a screenshot, making it useful for demos, design reviews, and early analytics planning.",Mocking up how click activity could look on a page or product screen.; Annotating a screenshot with interaction hotspots during UX review.; Exporting local heatmap point data for a prototype or proof of concept.
